City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,-21.68,99,55,2.85,RU,1701053907
1,rodino,52.5,80.25,-0.95,87,100,3.49,RU,1701053907
2,adamstown,-25.066,-130.1015,22.01,85,100,8.62,PN,1701053907
3,la sarre,48.8002,-79.1996,-1.68,97,100,4.0,CA,1701053908
4,malmberget,67.1753,20.6549,-9.69,86,100,1.54,SE,1701053909
5,bethel,41.3712,-73.414,10.57,86,100,7.2,US,1701053909
6,kailua-kona,19.6406,-155.9956,26.98,94,75,5.66,US,1701053909
7,sirjan,29.452,55.6814,8.75,64,0,2.44,IR,1701053909
8,mumbwa,-14.9783,27.0619,18.72,77,71,1.41,ZM,1701053910
9,vadso,70.0744,29.7487,-2.91,63,100,2.57,NO,1701053910
10,port-aux-francais,-49.35,70.2167,3.22,90,100,6.52,TF,1701053910
11,yermakovskoye,53.2831,92.4003,-3.54,97,100,1.2,RU,1701053911
12,touros,-5.1989,-35.4608,24.94,81,1,4.74,BR,1701053911
13,praia da vitoria,38.7333,-27.0667,17.64,100,20,7.0,PT,1701053911
14,baza,37.4907,-2.7726,7.63,68,87,2.21,ES,1701053911
15,tura,25.5198,90.2201,22.93,49,6,0.26,IN,1701053912
16,port mathurin,-19.6833,63.4167,24.87,71,82,7.41,MU,1701053912
17,hawaiian paradise park,19.5933,-154.9731,24.73,84,100,2.06,US,1701053912
18,ilulissat,69.2167,-51.1,-4.01,97,100,3.33,GL,1701053913
19,kodiak,57.79,-152.4072,5.73,81,75,5.14,US,1701053634
20,kapuskasing,49.4169,-82.4331,-1.0,93,100,3.09,CA,1701053913
21,prince rupert,54.3161,-130.3201,6.83,92,100,4.12,CA,1701053914
22,lebu,-37.6167,-73.65,12.54,92,100,4.18,CL,1701053914
23,sinan,34.8262,126.1086,12.06,84,53,7.1,KR,1701053914
24,grytviken,-54.2811,-36.5092,2.07,94,37,4.87,GS,1701053915
25,geraldton,-28.7667,114.6,24.23,53,75,6.17,AU,1701053825
26,kayan,16.9056,96.5631,25.08,63,61,3.83,MM,1701053915
27,altai,46.3722,96.2583,-8.07,69,0,1.26,MN,1701053916
28,kudymkar,59.0173,54.656,-0.31,94,100,2.92,RU,1701053916
29,fuerte olimpo,-21.0415,-57.8738,22.15,93,99,1.75,PY,1701053916
30,edinburgh of the seven seas,-37.0676,-12.3116,13.04,66,16,13.0,SH,1701053917
31,puerto ayora,-0.7393,-90.3518,24.75,92,38,1.34,EC,1701053917
32,shache,38.4167,77.2406,5.02,30,100,0.31,CN,1701053917
33,hasaki,35.7333,140.8333,16.27,62,0,3.74,JP,1701053917
34,dalandzadgad,43.5708,104.425,-8.2,65,21,5.46,MN,1701053918
35,ceerigaabo,10.6162,47.368,13.46,41,63,2.72,SO,1701053918
36,fortuna,40.5982,-124.1573,6.66,90,0,0.0,US,1701053918
37,waitangi,-43.9535,-176.5597,14.9,96,95,10.1,NZ,1701053919
38,punta arenas,-53.15,-70.9167,7.06,65,0,5.66,CL,1701053919
39,akureyri,65.6835,-18.0878,-4.04,93,0,0.0,IS,1701053919
40,constantia,44.1833,28.65,-1.62,77,96,9.43,RO,1701053910
41,puerto natales,-51.7236,-72.4875,2.92,92,7,2.34,CL,1701053920
42,tazovsky,67.4667,78.7,-18.35,97,92,4.19,RU,1701053920
43,ancud,-41.8697,-73.8203,10.52,87,100,2.11,CL,1701053773
44,springbok,-29.6643,17.8865,18.99,24,4,1.62,ZA,1701053921
45,castillos,-34.1667,-53.8333,15.89,96,2,2.95,UY,1701053921
46,felege neway,6.3,36.8833,16.59,79,4,0.19,ET,1701053921
47,remire-montjoly,4.9167,-52.2667,27.02,89,20,0.51,GF,1701053921
48,codrington,-38.2667,141.9667,14.72,63,98,6.31,AU,1701053922
49,roma,43.2128,-75.4557,5.46,94,100,1.54,US,1701053886
50,longboat key,27.4125,-82.659,24.03,68,40,3.09,US,1701053922
51,talnakh,69.4865,88.3972,-23.76,98,44,3.01,RU,1701053922
52,albany,42.6001,-73.9662,6.08,91,100,0.45,US,1701053647
53,menaka,15.9182,2.4022,24.73,13,91,2.72,ML,1701053923
54,thompson,55.7435,-97.8558,-16.91,71,100,2.06,CA,1701053923
55,luderitz,-26.6481,15.1594,20.75,49,0,7.6,NA,1701053923
56,bikenibeu village,1.3673,173.1241,29.98,84,75,1.03,KI,1701053924
57,ushuaia,-54.8,-68.3,5.81,75,40,8.75,AR,1701053701
58,vorgashor,67.5833,63.95,-21.39,100,70,1.69,RU,1701053924
59,qamdo,31.1667,97.2333,-3.71,16,24,0.31,CN,1701053924
60,vernon,50.2581,-119.2691,3.2,86,94,1.03,CA,1701053911
61,chadan,51.2833,91.5833,-13.79,96,99,0.05,RU,1701053925
62,el burgo de osma,41.5862,-3.0652,5.04,74,99,2.41,ES,1701053925
63,khorixas,-20.3667,14.9667,25.16,45,98,1.1,NA,1701053925
64,gisborne,-38.6533,178.0042,16.86,62,0,3.48,NZ,1701053926
65,papatowai,-46.5619,169.4708,13.85,73,100,3.38,NZ,1701053926
66,tamanrasset,22.785,5.5228,12.95,19,0,4.12,DZ,1701053926
67,nema,57.5067,50.5011,-1.26,91,84,3.88,RU,1701053927
68,invercargill,-46.4,168.35,15.57,74,100,1.79,NZ,1701053927
69,harstad,68.799,16.5293,-0.47,96,49,2.68,NO,1701053927
70,vangviang,18.9333,102.45,28.59,50,8,0.35,LA,1701053842
71,khovd,48.0056,91.6419,-6.64,68,14,0.61,MN,1701053927
72,svyetlahorsk,52.6329,29.7389,-3.05,84,100,9.47,BY,1701053928
73,victorica,-36.2151,-65.4359,26.19,26,33,5.26,AR,1701053928
74,whitehorse,60.7161,-135.0538,4.43,75,75,7.2,CA,1701053750
75,ribeira grande,38.5167,-28.7,17.65,95,100,1.79,PT,1701053928
76,blackmans bay,-43.0167,147.3167,14.29,67,11,0.45,AU,1701053929
77,margaret river,-33.95,115.0667,22.03,67,100,4.67,AU,1701053929
78,chipata,-13.6333,32.65,21.09,65,99,1.05,ZM,1701053929
79,peace river,56.2501,-117.286,-2.83,93,75,3.09,CA,1701053929
80,asaita,11.5636,41.4394,23.75,56,38,1.94,ET,1701053929
81,lodja,-3.4833,23.4333,20.61,99,100,0.48,CD,1701053930
82,kaspiyskiy,45.3929,47.3707,7.42,89,78,5.93,RU,1701053930
83,pavlodar,52.3,76.95,-2.11,80,0,5.0,KZ,1701053930
84,isafjordur,66.0755,-23.124,3.92,89,93,4.68,IS,1701053930
85,kristiansund,63.1115,7.732,-1.64,64,2,4.63,NO,1701053931
86,bredasdorp,-34.5322,20.0403,14.91,81,32,0.96,ZA,1701053931
87,vila velha,-20.3297,-40.2925,21.08,98,100,1.54,BR,1701053931
88,aykhal,66.0,111.5,-20.93,99,96,4.26,RU,1701053931
89,aasiaat,68.7098,-52.8699,-5.58,96,100,4.42,GL,1701053932
90,swakopmund,-22.6833,14.5333,15.55,87,81,0.89,NA,1701053932
91,alta,69.9689,23.2717,-8.41,79,100,1.03,NO,1701053932
92,wongsorejo,-7.9908,114.4009,31.52,52,75,2.53,ID,1701053932
93,yellowknife,62.456,-114.3525,-14.71,85,100,2.06,CA,1701053933
94,avarua,-21.2078,-159.775,26.03,69,75,7.2,CK,1701053933
95,mount pearl,47.5166,-52.7813,1.19,85,100,2.57,CA,1701053933
96,thinadhoo,0.5333,72.9333,27.71,75,76,0.78,MV,1701053933
97,tiksi,71.6872,128.8694,-21.59,100,97,2.88,RU,1701053934
98,sorong,-0.8833,131.25,28.68,73,86,3.8,ID,1701053934
99,hithadhoo,-0.6,73.0833,27.87,74,11,2.33,MV,1701053934
100,kirensk,57.7853,108.1119,-16.69,95,100,2.68,RU,1701053934
101,olonkinbyen,70.9221,-8.7187,1.37,84,100,8.18,SJ,1701053934
102,xining,36.6167,101.7667,2.54,27,74,0.56,CN,1701053935
103,badger,64.8,-147.5333,-4.24,93,100,0.0,US,1701053935
104,wailua homesteads,22.0669,-159.378,26.24,87,40,7.2,US,1701053935
105,pogar,52.554,33.2591,-3.49,95,100,9.54,RU,1701053935
106,klyuchi,52.2667,79.1667,-0.13,67,100,3.83,RU,1701053936
107,qaqortoq,60.7167,-46.0333,-9.0,87,66,3.56,GL,1701053936
108,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,63,75,7.15,RU,1701053936
109,las tablas,7.7667,-80.2833,25.91,87,35,1.73,PA,1701053936
110,atafu village,-8.5421,-172.5159,30.1,75,100,7.06,TK,1701053936
111,kroya,-7.6331,109.2461,29.18,62,100,1.48,ID,1701053937
112,labrador city,52.9463,-66.9114,-5.05,54,20,2.57,CA,1701053937
113,fale old settlement,-9.3852,-171.2468,29.68,76,85,7.39,TK,1701053937
114,al bahah,20.0129,41.4677,13.68,46,99,1.08,SA,1701053938
115,shanhecun,44.7,127.2,-7.66,89,100,1.7,CN,1701053938
116,iqaluit,63.7506,-68.5145,-10.15,79,75,1.03,CA,1701053938
117,masterton,-40.9597,175.6575,14.38,46,13,2.55,NZ,1701053938
118,lihue,21.9789,-159.3672,26.58,84,40,7.2,US,1701053939
119,flying fish cove,-10.4217,105.6791,26.82,69,76,4.63,CX,1701053939
120,isabela,6.7085,121.9711,30.03,66,93,0.57,PH,1701053939
121,arraial do cabo,-22.9661,-42.0278,22.84,80,100,7.5,BR,1701053939
122,pozos de gamboa,22.95,-102.5667,15.6,26,98,1.71,MX,1701053939
123,egilsstadir,65.2653,-14.3948,-0.05,93,0,5.14,IS,1701053940
124,codajas,-3.8367,-62.0569,23.33,92,49,0.23,BR,1701053940
125,kingston,17.997,-76.7936,28.53,70,20,4.12,JM,1701053486
126,kudahuvadhoo,2.6708,72.8944,27.8,74,68,2.14,MV,1701053940
127,okhotsk,59.3833,143.3,-16.13,84,100,7.27,RU,1701053941
128,zouerate,22.7187,-12.4521,16.28,23,5,3.16,MR,1701053941
129,redencao,-4.2258,-38.7306,23.63,83,2,0.86,BR,1701053941
130,alice springs,-23.7,133.8833,30.75,29,0,4.12,AU,1701053741
131,city of balikpapan,-1.242,116.8942,29.97,74,40,1.54,ID,1701053942
132,hamilton,39.1834,-84.5333,4.49,86,100,11.18,US,1701053764
133,porecatu,-22.7558,-51.3792,19.35,93,99,3.03,BR,1701053707
134,pesqueira,-8.3578,-36.6964,19.17,73,0,2.57,BR,1701053943
135,happy valley-goose bay,53.3168,-60.3315,-3.83,74,20,3.09,CA,1701053943
136,dudinka,69.4058,86.1778,-27.46,100,61,2.41,RU,1701053944
137,taksimo,56.3444,114.8794,-17.71,76,99,1.38,RU,1701053944
138,ghazni,33.5536,68.4269,3.89,26,17,2.27,AF,1701053944
139,mundo novo,-11.8589,-40.4725,18.54,97,5,2.01,BR,1701053945
140,cill airne,52.05,-9.5167,8.09,95,72,1.52,IE,1701053945
141,dompu,-8.5356,118.4622,33.96,47,65,2.29,ID,1701053945
142,tromso,69.6496,18.957,-4.99,93,40,1.03,NO,1701053946
143,gaalkacyo,6.7697,47.4308,23.01,78,76,3.06,SO,1701053946
144,grand falls-windsor,48.9332,-55.6649,-0.28,80,87,2.52,CA,1701053947
145,yuanping,38.7153,112.7575,5.28,28,0,9.25,CN,1701053947
146,bilibino,68.0546,166.4372,-12.28,93,12,2.68,RU,1701053947
147,stanley,54.868,-1.6985,3.76,96,75,1.03,GB,1701053948
148,kayangel,8.0823,134.7173,28.32,80,81,6.57,PW,1701053948
149,broome,42.2506,-75.833,5.35,96,100,2.57,US,1701053948
150,aldinga beach,-35.2793,138.4604,25.98,46,1,6.18,AU,1701053948
151,longyearbyen,78.2186,15.6401,2.91,70,40,8.75,SJ,1701053949
152,key largo,25.0865,-80.4473,25.55,87,66,1.89,US,1701053949
153,lepsy,46.235,78.9456,4.41,69,57,6.4,KZ,1701053949
154,ust-nera,64.5667,143.2,-23.27,95,97,3.61,RU,1701053950
155,port lincoln,-34.7333,135.8667,17.38,70,99,8.85,AU,1701053950
156,greymouth,-42.4667,171.2,15.2,76,100,3.01,NZ,1701053744
157,wagar,16.1525,36.2032,24.15,68,89,2.78,SD,1701053951
158,christchurch,-43.5333,172.6333,20.79,60,100,7.72,NZ,1701053349
159,sisimiut,66.9395,-53.6735,-4.16,95,100,4.13,GL,1701053951
160,port elizabeth,-33.918,25.5701,20.73,76,0,5.36,ZA,1701053952
161,betio village,1.358,172.9211,30.02,66,35,1.05,KI,1701053952
162,puerto baquerizo moreno,-0.9,-89.6,24.59,77,54,4.37,EC,1701053912
163,chashniki,54.8569,29.1607,-5.11,93,100,6.86,BY,1701053840
164,fort st. john,56.2499,-120.8529,-0.06,74,75,3.09,CA,1701053953
165,afaahiti,-17.75,-149.2833,27.93,83,97,10.24,PF,1701053953
166,simanggang,1.2472,111.4528,27.99,83,40,2.57,MY,1701053953
167,coahuayana de hidalgo,18.7,-103.6583,24.49,74,100,0.88,MX,1701053954
168,puerto armuelles,8.2833,-82.8667,27.87,82,92,3.13,PA,1701053954
169,timaru,-44.4,171.25,17.26,66,100,3.13,NZ,1701053954
170,dutsen wai,10.8501,8.199,18.74,87,30,1.16,NG,1701053955
171,west island,-12.1568,96.8225,28.99,58,75,4.63,CC,1701053955
172,new plymouth,-39.0667,174.0833,15.73,51,71,5.58,NZ,1701053955
173,narrabri,-30.3167,149.7833,34.18,31,67,1.34,AU,1701053956
174,saldanha,-33.0117,17.9442,16.03,87,4,5.58,ZA,1701053956
175,gadzhiyevo,69.2551,33.3362,-16.26,94,44,3.0,RU,1701053956
176,eseka,3.65,10.7667,22.97,99,91,0.64,CM,1701053956
177,hwange,-18.3693,26.5019,23.99,44,21,1.56,ZW,1701053957
178,burley,42.5357,-113.7928,-13.17,85,20,0.0,US,1701053738
179,wynyard,-41.0,145.7167,11.69,81,100,2.6,AU,1701053957
180,veraval,20.9,70.3667,22.97,76,1,2.89,IN,1701053958
181,yurty,56.0498,97.6348,-17.12,90,16,1.53,RU,1701053958
182,seaside,36.6111,-121.8516,13.73,51,0,1.54,US,1701053726
183,aginskoye,51.1,114.53,-13.71,75,16,5.84,RU,1701053959
184,boguchany,58.3814,97.4531,-20.82,92,6,0.74,RU,1701053959
185,namibe,-15.1961,12.1522,23.04,81,100,1.73,AO,1701053661
186,polyarnyy,69.1989,33.4478,-15.93,92,30,3.03,RU,1701053959
187,el calafate,-50.3408,-72.2768,6.92,59,51,1.68,AR,1701053960
188,howrah,22.5892,88.3103,22.0,83,40,0.0,IN,1701053960
189,douz,33.4663,9.0203,12.82,53,0,3.63,TN,1701053960
190,pundong,-7.9522,110.3486,30.46,55,57,3.69,ID,1701053961
191,sysert',56.4953,60.8192,-1.01,87,100,2.7,RU,1701053961
192,rawson,-43.3002,-65.1023,13.79,49,83,6.9,AR,1701053961
193,college,64.8569,-147.8028,-4.19,92,75,0.0,US,1701053962
194,kupang,-10.1667,123.5833,33.32,58,40,3.6,ID,1701053962
195,bantay,17.5847,120.3892,29.42,78,89,1.79,PH,1701053962
196,rosalie,15.3667,-61.2667,24.82,69,0,4.3,DM,1701053962
197,lompoc,34.6391,-120.4579,14.08,59,0,2.06,US,1701053851
198,haiku-pauwela,20.9219,-156.3051,25.01,73,40,8.23,US,1701053963
199,safi,32.1667,-8.8333,12.12,82,12,2.86,MA,1701053963
200,thai binh,20.45,106.3333,26.05,53,9,2.4,VN,1701053964
201,moree,-29.4667,149.85,31.06,36,72,1.09,AU,1701053964
202,demyansk,57.643,32.466,-6.69,87,100,3.83,RU,1701053964
203,soio,-6.1349,12.3689,26.29,87,100,2.92,AO,1701053965
204,gobabis,-22.45,18.9667,24.49,32,44,4.11,NA,1701053965
205,santa cruz,-17.8,-63.1667,24.7,88,75,4.12,BO,1701053666
206,st. john's,47.5649,-52.7093,1.65,84,100,2.57,CA,1701053966
207,yeppoon,-23.1333,150.7333,23.88,73,100,5.18,AU,1701053966
208,nikol'sk,53.7189,46.0712,0.11,90,100,5.74,RU,1701053966
209,dunedin,-45.8742,170.5036,13.22,75,100,1.34,NZ,1701053967
210,antonio enes,-16.2325,39.9086,25.05,85,74,0.97,MZ,1701053967
211,concepcion,-36.827,-73.0498,13.89,94,100,5.14,CL,1701053775
212,utrik,11.2278,169.8474,27.85,74,88,9.02,MH,1701053968
213,alofi,-19.0595,-169.9187,28.94,74,19,5.66,NU,1701053968
214,kaa-khem,51.6833,94.7333,-12.0,94,100,0.87,RU,1701053968
215,stourport-on-severn,52.35,-2.2667,9.55,97,100,3.29,GB,1701053968
216,luanda,-8.8368,13.2343,26.0,89,75,1.54,AO,1701053691
217,new norfolk,-42.7826,147.0587,14.95,35,9,2.39,AU,1701053969
218,tionk essil,12.7856,-16.5217,20.03,73,0,2.51,SN,1701053969
219,suva,-18.1416,178.4415,27.71,74,75,4.12,FJ,1701053970
220,zadar,44.1197,15.2422,2.34,69,20,2.06,HR,1701053970
221,chonchi,-42.6128,-73.8092,10.56,86,100,0.24,CL,1701053970
222,chateaubelair,13.2833,-61.25,25.89,76,57,4.39,VC,1701053971
223,sao vicente,-23.9631,-46.3919,23.48,26,75,1.02,BR,1701053971
224,kyelang,32.5833,77.0333,-1.7,68,100,2.27,IN,1701053971
225,dubbo,-32.25,148.6167,32.07,29,40,6.17,AU,1701053971
226,arteche,12.2645,125.4048,27.97,81,91,3.0,PH,1701053972
227,trincomalee,8.5711,81.2335,27.25,83,100,5.94,LK,1701053972
228,minas novas,-17.2186,-42.5903,20.29,72,5,2.12,BR,1701053689
229,weno,7.4515,151.8468,30.97,79,75,5.14,FM,1701053973
230,nowshahr,36.649,51.496,12.97,62,0,0.0,IR,1701053973
231,tolanaro,-25.0319,46.9987,23.04,94,0,1.03,MG,1701053973
232,georgetown,5.4112,100.3354,28.96,83,20,2.06,MY,1701053974
233,duki,30.1541,68.5728,11.72,39,8,1.47,PK,1701053974
234,livny,52.4253,37.6069,3.21,85,100,8.14,RU,1701053974
235,miyako,39.6367,141.9525,7.47,92,100,0.15,JP,1701053974
236,mount gambier,-37.8333,140.7667,14.85,63,97,4.91,AU,1701053975
237,saint-pierre,-21.3393,55.4781,23.82,60,0,3.6,RE,1701053975
238,boende,-0.2167,20.8667,19.99,97,99,1.11,CD,1701053975
239,brokopondo,4.75,-55.1667,24.87,86,82,4.11,SR,1701053976
240,rio grande,-32.035,-52.0986,21.08,83,35,7.18,BR,1701053976
241,revda,56.801,59.9303,-0.94,78,99,3.1,RU,1701053977
242,laguna,38.421,-121.4238,11.16,55,0,0.0,US,1701053928
243,novyy urengoy,66.0833,76.6333,-14.54,97,90,3.46,RU,1701053977
244,east london,-33.0153,27.9116,20.21,89,2,1.75,ZA,1701053978
245,acarau,-2.8856,-40.12,26.67,69,0,6.25,BR,1701053978
246,stockheim,50.3,11.2667,2.41,95,100,1.79,DE,1701053978
247,stephenville,32.2207,-98.2023,4.96,67,0,0.0,US,1701053979
248,nar'yan-mar,67.6713,53.087,-21.7,99,57,2.83,RU,1701053979
249,lazaro cardenas,17.9583,-102.2,26.22,73,100,1.45,MX,1701053979
250,amarastii de jos,43.95,24.1667,-0.01,70,12,9.43,RO,1701053979
251,itoman,26.1247,127.6694,25.43,67,75,6.17,JP,1701053980
252,highfields,-27.4518,151.9463,26.31,62,100,2.43,AU,1701053980
253,mejit,10.2753,170.8646,27.55,79,100,9.83,MH,1701053980
254,puerto palomas,31.7667,-107.6167,10.45,46,91,5.11,MX,1701053981
255,nova sintra,14.8667,-24.7167,22.44,64,82,5.23,CV,1701053981
256,lerwick,60.1545,-1.1494,6.0,73,82,14.05,GB,1701053981
257,san mateo del mar,16.2,-95.0,27.56,74,5,11.52,MX,1701053981
258,aswan,24.0934,32.907,18.61,39,0,2.06,EG,1701053982
259,nyurba,63.2842,118.3319,-16.0,91,100,4.21,RU,1701053982
260,tofol,5.3248,163.0078,29.88,74,75,4.63,FM,1701053982
261,anapa,44.8908,37.3239,5.2,86,75,9.0,RU,1701053982
262,tucuma,-0.1833,-50.05,24.4,93,98,2.51,BR,1701053761
263,mawlaik,23.6333,94.4167,22.14,55,46,1.22,MM,1701053983
264,gagra,43.3283,40.2239,6.51,84,100,2.72,GE,1701053983
265,hovd,48.0056,91.6419,-6.64,68,14,0.61,MN,1701053983
266,belyy yar,53.6039,91.3903,-5.06,93,75,2.0,RU,1701053984
267,mogadishu,2.0371,45.3438,26.3,82,100,5.08,SO,1701053984
268,kruisfontein,-34.0033,24.7314,16.26,80,0,2.92,ZA,1701053984
269,anloga,5.7947,0.8973,26.71,77,98,3.17,GH,1701053984
270,zhangatas,43.5667,69.75,10.36,29,99,0.68,KZ,1701053985
271,novodvinsk,64.4165,40.8122,-18.75,97,19,1.81,RU,1701053985
272,hammerfest,70.6634,23.6821,-1.75,74,100,1.03,NO,1701053985
273,caska,41.6506,21.6622,-3.71,83,3,2.09,MK,1701053985
274,amahai,-3.3333,128.9167,29.32,70,97,1.22,ID,1701053985
275,lorengau,-2.0226,147.2712,29.98,68,47,2.33,PG,1701053986
276,saipan,15.1355,145.701,31.39,66,40,10.29,MP,1701053986
277,nuuk,64.1835,-51.7216,-4.94,88,99,4.62,GL,1701053986
278,thayetmyo,19.3167,95.1833,25.52,62,32,3.63,MM,1701053987
279,yarmouth,41.7057,-70.2286,9.03,87,100,5.66,US,1701053987
280,la'ie,21.6477,-157.9253,26.98,80,100,1.79,US,1701053987
281,meulaboh,4.1363,96.1285,26.95,77,93,1.26,ID,1701053987
282,sitka,57.0531,-135.33,7.99,94,100,4.08,US,1701053987
283,machico,32.7,-16.7667,19.35,77,40,2.57,PT,1701053988
284,grand-bassam,5.2118,-3.7388,23.98,94,100,2.44,CI,1701053988
285,fort bragg,35.139,-79.006,8.85,92,100,2.57,US,1701053988
286,nakambala,-15.8324,27.7799,19.53,81,33,0.38,ZM,1701053988
287,taltal,-25.4,-70.4833,17.51,77,15,2.03,CL,1701053989
288,chibougamau,49.9168,-74.3659,-3.21,93,100,5.66,CA,1701053698
